,strain,minute,replicate,id
GSM1368273,wt,0,r1,wt_0_r1
GSM1368274,wt,0,r2,wt_0_r2
GSM1368275,wt,0,r3,wt_0_r3
GSM1368276,wt,0.08333333,r1,wt_15_r1
GSM1368277,wt,0.08333333,r2,wt_15_r2
GSM1368278,wt,0.08333333,r3,wt_15_r3
GSM1368279,wt,0.16666667,r1,wt_30_r1
GSM1368280,wt,0.16666667,r2,wt_30_r2
GSM1368281,wt,0.16666667,r3,wt_30_r3
GSM1368282,wt,0.33333333,r1,wt_60_r1
GSM1368283,wt,0.33333333,r2,wt_60_r2
GSM1368284,wt,0.33333333,r3,wt_60_r3
GSM1368285,wt,0.66666667,r1,wt_120_r1
GSM1368286,wt,0.66666667,r2,wt_120_r2
GSM1368287,wt,0.66666667,r3,wt_120_r3
GSM1368288,wt,1,r1,wt_180_r1
GSM1368289,wt,1,r2,wt_180_r2
GSM1368290,wt,1,r3,wt_180_r3